n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_fd;915632;4
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ep;915636;4
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_current_msec;984920;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_syslog_time;984976;1024
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_http_log_iso8601;986030;1664
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_http_log_time;987697;1728
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_http_time;989434;1920
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_err_log_time;991324;1280
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;cached_time;992616;1536
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;slot;994096;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_io;994168;64
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_accept_disabled;994952;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_flags;995184;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_process;1110344;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_use_epoll_rdhup;1111329;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_conn;1111384;232
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_event;1111624;96
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;nevents;1111713;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;start_value;1112080;4
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_use_exclusive_accept;994944;8
n;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_processes;1061009;49152
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;32
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;40
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;48
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;56
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;64
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_actions;995104;8;72
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_timer_rbtree;995232;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_timer_rbtree;995232;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_timer_rbtree;995232;8;16
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_posted_events;995312;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_posted_events;995312;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_posted_next_events;995328;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_posted_next_events;995328;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_posted_accept_events;995344;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_posted_accept_events;995344;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_os_argv;1110136;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_conn;1111360;8;8
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_conn;1111360;8;80
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_event;1111616;8;16
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;notify_event;1111616;8;32
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;event_list;1111720;8;0
p;##benchmark_location##/out/nginx-1.23.3/pmvee/single/sbin/nginx;ngx_event_timer_sentinel;995264;8;24
